Id,Sex,НЕВЕРОТН 1  Невероятные приключения итальянцев в России,ТЕЛОХРАН 2  Телохранитель,КАВКАЗСК 3  Кавказская пленница или Новые приключения Шурика,ПТЫЙ_ЭЛЕ 4  Пятый элемент,ТЕРМИНАТ 5  Терминатор,КРЕПКИЙ 6  Крепкий орешек,ПОЛИЦ_АК 7  Полицейская академия,ЧУЖИЕ 8  Чужие,КРОКОДИЛ 9  Крокодил Данди,ЗДРАВСТВ 10  Здравствуйте  я ваша тетя!,ИРОНИ_СУ 11  Ирония судьбы или с легким паром,КРАСОТКА 12  Красотка,МАТРИЦА 13  Матрица,ТИТАНИК 14  Титаник,К_9 15  К-9,НАЗАД_В 16  Назад в будущее,САМА_ОБА 17  Сама обательная и привлекательна,БЛИЗНЕЦЫ 18  Близнецы,СОБАЧЬЕ 19  Собачье сердце,СОБАКА_Б 20  Собака Баскервилей,МЕСТО_ВС 21  Место встречи изменить нельзя,ГОРЕЦ 22  Горец,СЛУЖЕБНЫ 23  Служебный роман,ОС_РЫБ 25  Особенности национальной рыбалки,ОС_ОХОТЫ 26  Особенности национальной охоты,ДЕСТЬ_НЕ 27  Десть негритят,ТЕРМИНA2 28  Терминатор 2: судный день,ВОКЗАЛ_Д 29  Вокзал для двоих,ГЕНИЙ 30  Гений,ИВАН_ВАС 31  Иван Васильевич меняет профессию,РОККИ 32  Рокки,ОДИН_ДОМ 33  Один дома,САМОГОНЩ 34  Самогонщики,ОБЫКНОВЕ 35  Обыкновенное чудо,В_БОЙ_ИД 36  В бой идут одни старики,ПАРК_ЮРС 37  Парк Юрского периода,МОСКВА_С 38  Москва слезам не верит,БЕЛОЕ_СО 39  Белое солнце пустыни,ЛЮДИ_В_Ч 40  Люди в черном,ОДИН_ДМ2 41  Один дома 2: потерянный в Нью-Йорке,ХИЩНИК 42  Хищник,ВСПОМНИТ 43  Вспомнить все,ИНТЕРДЕВ 44  Интердевочка,ЧЕЛЮСТИ 45  Челюсти,ЛЕОН 46  Леон,ПОЛИЦ_ДС 47  Полицейский из детского сада,ОТ_ЗАКАТ 48  От заката до рассвета,ПРАВДИВА 49  Правдивая ложь,АРМАГЕДД 50  Армагеддон,А_ЗОРИ_З 51  А зори здесь тихие,ДВОЙНОЙ 52  Двойной удар,МАСКА 53  Маска,БЛЕФ 54  Блеф,ДЕНЬ_СУР 56  День сурка,БЕГУЩИЙ 57  Бегущий человек,ЗИМН_ВИШ 58  Зимняя вишня,ТУТСИ 59  Тутси,НА_ДЕРИБ 60  На Дерибасовской хороша погода или на Брайтон Бич всегда идут дожди,ТРИ_ПЛЮС 61  Три плюс два,ЧАРОДЕИ 62  Чародеи,БАБНИК 63  Бабник,ЗУБАСТИК 64  Зубастики,ИГРУШКА 65  Игрушка (Франция),ВЫСОКИЙ 66  Высокий блондин в черном ботинке,ГАЗОНОКО 67  Газонокосильщик,ЧЕЛОВЕК 68  Человек дождя,МАЛЕНЬКИ 69  Маленький гигант большого секса,ПОКРОВСК 70  Покровские ворота,КРЕПК_2 71  Крепкий орешек 2,СИБИРСКИ 72  Сибирский цирюльник,МОЛЧАНИЕ 73  Молчание ягнят,ЭКИПАЖ 74  Экипаж,КОММАНДО 75  Коммандос,ФОРРЕСТ 76  Форрест Гамп,ДОРОГА_ 77  Дорогая  я уменьшил детей,УКРОЩЕНИ 78  Укрощение строптивого,ПРОФЕССИ 79  Профессионал,ДЖУМАНДЖ 80  Джуманджи,ГОРЧИЕ_Г 81  Горячие головы,ПОСЛЕДНИ 82  Последний бойскаут,ДЖЕНТЛЬМ 83  Джентльмены удачи,СПИСОК_Ш 84  Список Шиндлера,В_ДЖАЗЕ 85  В джазе только девушки,ЗВЕЗДНЫЙ 86  Звездный десант,ОТПЕТЫЕ 87  Отпетые мошенники,АДВОКАТ 88  Адвокат дьявола,ПАПАШИ 89  Папаши,ЕСЛИ_НАС 90  Если наступит завтра,В_ЗОНЕ_О 91  В зоне особого внимания,ГРЗНЫЕ_Т 92  Грязные танцы,СОРОК_ВО 93  Сорок восемь,ЗАХВАТ 94  Захват,БЕТХОВЕН 95  Бетховен,ДОСПЕХИ 96  Доспехи Бога,ЧАСТНЫЙ 97  Частный детектив или операция-кооперация,ШЕСТОЕ_Ч 98  Шестое чувство,СКАЛОЛАЗ 99  Скалолаз,ГАРАЖ 100  Гараж,МЭВЕРИК 101 Мэверик,ИНТРОВЕР 102 Интроверсия-Экстраверсия (тест Айзенка),ЭМОЦИОНА 103 Эмоциональная устойчивость-Невротизм (тест Айзенка),E_I__КЕЙ 104 E/I (тест Кейpси),S_N__КЕЙ 105 S/N (тест Кейpси),T_F__КЕЙ 106 T/F (тест Кейpси),J_P__КЕЙ 107 J/P (тест Кейpси),ЗАМКНУТО 108 Замкнутость-Общительность (тест Кэттелла),УРОВЕНЬ 109 Уровень интеллекта (тест Кэттелла),ЭМОЦИОНА 110 Эмоциональная неустойчивость-Устойчивость (тест Кэттелла),НЕДОБРОС 111 Недобросовестность-Высокая совестливость (тест Кэттелла),ПОДЧИНЕН 112 Подчиненность-Доминантность (тест Кэттелла),ОЗАБОЧЕН 113 Озабоченность-Беспечность (тест Кэттелла),РОБОСТЬ_ 114 Робость-Смелость (тест Кэттелла),ЖЕСТКОСТ 115 Жесткость-Чувствительность (тест Кэттелла),ДОВЕРЧИВ 116 Доверчивость-Подозрительность (тест Кэттелла),ПРАКТИЧН 117 Практичность-Мечтательность (тест Кэттелла),ПРМОЛИНЕ 118 Прямолинейность-Дипломатичность (тест Кэттелла),САМОУВЕР 119 Самоуверенность-Тревожность (тест Кэттелла),КОНСЕРВА 120 Консерватизм-Радикализм (тест Кэттелла),ЗАВИСИМО 121 Зависимость от группы-Самостоятельность (тест Кэттелла),НИЗКИЙ_В 122 Низкий-Высокий самоконтроль поведения (тест Кэттелла),РАССЛАБЛ 123 Расслабленность-Напряженность (тест Кэттелла),IQ 124 IQ,ВЕРБАЛЬН 125 Вербальный интеллект,ЧИСЛОВОЙ 126 Числовой интеллект,ПРОСТРАН 127 Пространственный интеллект,РАВЕН 128 Невербальный интеллект (тест Равена),ОСВЕДОМЛ 129 Осведомленность (тест Амтхауэра),КЛАССИФИ 130 Классификация (тест Амтхауэра),АНАЛОГИИ 131 Аналогии (тест Амтхауэра),ОБОБЩЕНИ 132 Обобщение (тест Амтхауэра),МАТЕМАТ1 133 Математические способности (практическое мышление) (тест Амтхауэра),МАТЕМАТ2 134 Математические способности (теоретическое мышление) (тест Амтхауэра),КОМБИНАТ 135 Комбинаторное мышление (тест Амтхауэра),ПРОСТРАН 136 Пространственное воображение (тест Амтхауэра),ЗАПОМИНА 137 Запоминание и воспроизведение информации (тест Амтхауэра),ВОЗPАСТ 139 Возpаст,AGE_CAT 139,ОБPАЗОВА 140 Обpазование,EDU_CAT 140,УPОВЕНЬ 141 Уpовень доходов,АСИММЕТP 142 Асимметpия полушаpий,АКТИВНОС 181 Активность и сила (ЛД),ДОБРОСЕР 182 Добросердечность (ЛД),ТРУДОВЫЕ 183 Трудовые качества (ЛД),ОБЩА_ОЦЕ 184 Общая оценка (ЛД),ОБЩИТЕЛЬ 185 Общительность и эмоциональность (ЛД),АНЕКДОТЫ 186 Анекдоты (оценка чувства юмора),ТЮФ 187 ТЮФ (оценка чувства юмора),ФОТО_СPЕ 188 Фото-сpедняя оценка,ФОТО_СКО 189 Фото-СКО,ФОТО_ЗАН 190 Фото-занижение-завышение оценки,РУКА_ПЕР 191 Рука-переплетение пальцев рук - ведущая,РУКА_ИМИ 192 Рука-имитация аплодисментов - ведущая,РУКА_СКР 193 Рука-скрещивание рук на груди - ведущая,HОГА 194 Hога - ведущая,ГЛАЗ 195 Глаз - ведущая,РУКОЙ_ПИ 196 Рука  которой пишут,ПЕРЕУЧИВ 197 Переучивали ли писать  если левша,САМООПPЕ 198 Самоопpеделение пpавша-левша,БОК_ПРЕД 199 Бок  на котором предпочитают спать,ГЛАЗ_У_В 200 Глаз  который обычно шире открыт
470,1,4,8,5,7,10,8,8,11,6,1,6,8,11,6,8,9,,8,8,8,7,9,4,5,8,7,10,,9,5,5,7,6,5,7,5,4,6,7.5,9,10,9,7,6,11,6,9,8,5,5,6,7,5,9,8,2,4,1,,8,,8,8,,8,8,3,,9,,10,6.5,9,9,4,3,5,4,7,8,,,4,9,9,,,7,,,6,,,7,,10,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,2,4,,,,,,6.327,3.72,,,,2,2,1,2,2,1,4,1,2,2
471,2,,6,7,7,5,7,6,6,6,8,8,6,3,7,7,5,,5,10,8,7,,10,6,6,6,,7,,7,3,6,,5,,6,8,7,5,6,3,5,5,5,7,,,,1,,,6,,7,5,,4,,,,,5,7,5,,5,,,7,,6,7,5,1,,,6,6,6,5,,,7,8,,,,,,,5,,,,,,,,,18,14,8,8,7,8,11,5,9,6,7,4,10,9,3,10,10,10,5,5,3,5,,,,109.04,104,14,13,,,,,,,,26,3,5,3,2,2,,,,,,,5.26,4.214,1.739,-0.207,1,2,1,2,1,1,4,1,2,2
472,1,8,5,6,7,5,6,2,10,5,8,6,3,11,8,4,10,,4,8,7,11,4,9,2,2,8,9,,6,6,7,3,3,,7,7,12,7,8,2,5,5,4,2,6,7,9,5,8,7,5,7,,7,3,,,2,,10,5,1,,6,4,8,4,7,4,8,10,9,2,12,1,4,6,5,9,9,,,7,10,7,,,4,,,5,,,3,,10,,,8,14,6,8,16,15,18,8,6,10,8,2,8,12,6,2,3,8,7,7,6,12,5,137.5,140,,,86,,,,,,,,,,25,2,5,3,1,,,,,,,,5.1,,,,,,,,,,,,,
473,1,8,9,7,9,8,8,,8,8,7,8,7,8,7,,9,,7,6,7,9,,8,6,7,9,8,7,9,8,,9,,8,9,7,8,9,9,7,7,8,,,10,8,7,7,8,,7,8,7,10,9,6,,7,,7,4,,4,7,8,,4,6,7,9,10,8,,,6,8,,8,8,8,,8,9,7,,6,7,9,8,,,,,,,9,,,7,,,3,8,12,15,10,6,11,4,3,6,7,7,5,7,2,4,7,7,10,0,142.5,150,150,143.04,113,,,,,,,,,,24,2,5,3,2,,,,,,,6.115,5.98,,,,,,,,,,,,,
474,2,7,7,8,6,,6,4,7,6,10,7,6,7,9,7,7,7,7,10,10,7,6,9,7,7,7,7,8,7,9,4,6,7,8,8,9,7,9,7,5,7,9,6,7,6,6,6,5,5,7,6,3,7,7,9,4,6,6,7,8,4,5,8,9,6,9,2,9,4,5,9,7,6,9,5,8,9,10,7,5,,10,9,5,7,,7,5,7,,6,,,9,,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,4,,,,4,,,,,,6.231,,,,,1,2,2,2,2,1,4,1,3,2
475,1,4,7,5,10,7,7,4,4,5,1,8,7,12,10,,10,1,10,8,5,6,8,9,12,7,5,7,4,10,7,5,4,4,5,6,5,6,6,5,5,7,8,4,5,10,7,7,10,7,6,4,7,7,7,5,7,5,3,5,7,6,,2,1,10,,,5,6,4,7,6,7,10,4,5,,6,4,12,,5,2,5,9,,1,,6,,12,,,5,,1,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,3,5,3,2,4,,,,,,,5.62,4.941,2.114,0.445,1,2,2,2,2,1,1,1,1,3
476,1,7,,6,,9,,,7,,8,7,,,,7,8,5,7,8,8,10,7,8,7,8,6,,8,6,10,1,,6,8,8,,7,8,,,7,7,3,8,,6,,7,,8,6,,,,,6,,1,8,8,2,1,6.5,2,6,,5,10,,7,7,6,6,,,,,,,,,5,,,,,,,6,,,,,1,,,,,,10,17,4,8,12,18,4,4,7,4,4,10,7,2,6,10,6,9,11,8,8,5,137.5,,,,98,,,,,,,,,,25,2,5,3,,3,-0.703,-0.343,1.888,0.732,-0.473,6.019,4.6,4.571,1.178,0.236,,,,,,,,,,
477,2,6,4,1,1,6,6,6,,4,1,6,5,3,2,6,9,6,4,6,4,4,5,7,4,6,6,6,4,7,9,,5,2,5,7,,4,6,5,4,,,6,7,4,,4,,6,,5,4,,6,5,4,6,5,5,8,4,4,1,,2,6,3,3,5,5,5,5,,,,3,,5,1,6,,,4,3,,10,,7,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,115,,,,40,,,,,,,,,,26,3,,,,3,,,,,,,2.68,2.5,1.118,-2.074,2,2,2,1,1,1,4,1,3,1
478,1,7,8,9,8,7,8,7,10,10,9,9,7,7,9,8,10,6,4,12,6,10,10,7,4,6,5,8,8,7,8,8,10,9,9,10,10,10,11,9,7,8,5,7,8,9,4,10,7,4,10,4,7,9,,7,8,8,4,7,5,1,7,9,9,5,12,5,8,7,6,11,8,5,,,8,10,7,4,8,,7,11,6,,,8,6,6,,9,,,3,,8,,,8,,,3,14,7,18,11,5,5,4,7,7,7,12,5,10,7,12,9,6,8,7,102.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,1,6,6,7,10,7,7,7,8,8,7,9,7,6,7,7,7,7,7,9,8,8,7,8,,7,7,9,7,5,8,6,7,7,7,7,8,8,8,7,7,8,7,6,6,7,7,8,6,7,5,6,8,7,5,6,7,7,7,5,7,5,4,7,7,7,7,7,5,7,6,9,7,6,8,7,5,6,5,6,6,,9,5,8,6,,5,6,7,,5,,,7,,7,,,5,,,4,7,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,2,,5,,,7,6,,5,,8,,6,5,5,,5,6,5,10,8,8,5,,4,9,6,5,5,6,,,,,5,6,4,,,,,6,4,6,,6,,6,6,,8,3,7,7,7,5,6,9.5,,5,6,4,,,7,4,8,5,6.5,4,3,7,5,7,7,1,,,,,,6.5,8,7,,7,7,,6,,,,,5,,,8,,9,5,13,10,9,7,7,12,8,6,9,5,4,4,8,11,5,8,4,8,9,10,1,4,,157.5,,126.72,104,14,,,,,,,,,34,4,5,3,2,1,0.049,0.598,-0.999,-0.226,1.041,5.731,5.46,,,,,,,,,,,,,
481,2,6.5,7.5,8,9,5,7,7,5,4,8,8,6.5,4,6,9,8,7.5,8,9,6,7,7,8,7.5,8,6,5,6,6.5,8,3,5,7,7.5,8,4,6.5,6.5,5,6.5,4,4,6.5,4,9,6,5,5,5,9,3,7.5,,8,8,7.5,8,6,8,8,5,1,8,6.5,4,8,8,9,6,6.5,9,8,3,9,1,8,10,7,4,5,,8,7,4,5,,7.5,5,7.5,,,,,7,,7,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,3.75,1.556,-0.613,1,2,1,2,2,1,4,1,3,1
482,,6,6,6,4,6,6,6,5,4,7,7,6,5,5,5,6,6,5,6,6,8,5,8,3,3,4,5,8,7,7,4,4,4,7,4,5,8,6,5,4,4,4,6,4,5,3,5,6,5,5,4,,4,6,5,6,4,,5,4,5,4,,5,2,5,4,9,6,9,,,6,7,4,,4,4,3,3,,6,,4,5,,,7,3,,5,,,,,,,,,,,,,,,5,5,4,4,3,2,7,11,4,9,3,8,9,6,3,7,,,,,,,,,,,,,,,23,2,5,3,2,2,,,,,,5.096,,4.304,1.04,0.041,1,2,2,1,1,,,,,
483,1,7,10,8,10,7.5,9,6.5,11,6.5,,10,8,10,,8,11,,8,7,7.5,9,9,8,7,8,,9,7.5,10,8,6.5,8,8,7,10,6,9,8,8,7.5,8,7,,5,9,7,,,6,7,9,7,6.5,7,7.5,6.5,10,5,,7.5,,6.5,7,7,6,,4,,8,6,8,9,8,,7,6.5,7.5,7,,,,,,8,6.5,,7.5,,8,,9,,,7.5,,,,,,16,11,7,12,6,17,12,3,10,4,9,11,10,4,6,6,9,7,7,2,7,4,122.5,132.5,100,130.8,55,,,,,,,,,,36,4,5,3,,4,0.012,0.221,1.005,-0.887,0.373,7.346,4.52,,,,,,,,,,,,,
484,,7,9,7.5,6,3,3,3,6,5,10,8,9,6,8,5,7.5,9,6,9,9,10,5,9,3,3,9,2,8,9,7.5,3,7,6.5,,9,8,10,8,6,7,5,5,8,3,10,6,6,6,5,10,6,7.5,7,9,3,8,8,6,7,5,5,6,8,7,6.5,10,5,9,5,9,9,7,6,8,7.5,7,11,7.5,5,5,,7,9,6,5,,7.5,7.5,,,6,,,7,,6,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.521,0.636,-0.074,-0.428,0.743,,7.9,,,,,,,,,,,,,
485,2,8,8,9,8,7,7,8,6,7,7,7,10,7,10,,5,10,7,6,5,9,8,8,7,6,6,7,8,8,8,5,7,7,8,8,7,8,7,7,5,,7,8,5,9,7,7,8,7,9,7,8,5,5,7,8,8,7,7,9,6,,7,7,6,9,7,6,,9,7,9,5,,7,9,6,,7,,,7,10,5,7,,9,7,7,,,,,5,,,,,6,,,6,13,6,8,,,,,,,,,,,,,,,,,102.5,,,,42,,,,,,,,,,25,2,3,1,2,,,,,,,,,4.812,1.752,0.824,,,,,,,,,,
486,,7,5,11,7,5,7.5,9,4,7,11,8,7,7,7,7,7,9,7,11,12,10,7,12,7.5,8,9,7,8,,12,5,9,7,8,9,6.5,9,12,8,8,2,4,5,4,11,9,7,7,7,7,4,7,9,5,4,5,9,5,7,7,5,4,9,8,4,8,5,10,7,7,,5,6,7,7,9,8,6,8,5,,11,11,5,9,,8,5,,,6,,,8,,8,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.275,-0.508,2.435,0.097,1.055,,,,,,1,2,1,1,2,1,4,1,2,2
487,1,8,6.5,,10,7,6,7,,,,,6.5,12,,,5,,3,,7,9,7,,,,,4,11,7,,,,,,,6,,,10,,4,7,4,,9,,,8,,,2,,,,7,,,4,,,,,,8,,,,,,,,8,4,11,8,,,9,,5,11,,,,12,,,,7,,,4,,7,,,,,,15,24,6,8,12,12,6,2,6,6,6,6,6,6,6,6,6,6,6,6,6,8,105,115,102.5,99.52,57,6,6,,,,,,,,31,4,5,3,,0,-0.058,-0.064,0.012,-0.079,0.342,3.865,6.4,4.821,1.879,0.473,1,1,1,1,1,2,2,3,2,1
488,2,8,4,6,6,6,7,6,7,7,9,6,8,6,6,7,10,8,6,10,9,8,10,7,8,8,9,6,6,8,6,4,6,5,9,,4,7,6,,6,6,8,4,6,10,7,8,,,9,,,9,7,,4,9,,4,9,5,5,,8,7,9,5,9,6,12,,,,10,6,7,7,,9,,,,,,,,,9,,10,6,,,,,,,,,14,11,7,4,5,14,8,7,4,3,5,6,9,8,4,8,2,9,10,3,2,6,,,,,,,,,,,,,,,21,2,4,2,1,,,,,,,,,,,,,,,,,,,,,
489,1,8,8,12,10,12,9,10,10,10,12,12,7,10,8,8,12,8,,12,12,12,7,10,3,5,10,10,12,,12,7,8,10,12,7,7,8,10,,7,10,,5,,10,8,,10,,5,7,12,,12,10,8,12,,5,12,,10,12,,10,10,,12,,8,7,,12,12,7,10,7,12,12,,10,,12,12,8,10,,,,10,,,7,12,,10,,10,,5,9,4,12,14,20,8,7,6,0,5,5,9,10,5,6,10,8,6,6,10,5,112.5,,,,,,,,,,,,,,27,3,7,4,3,,,,,,,,,,,,,,,,,,,,,
490,,6,6,5,10,4,4,8,6,5,6,5,6,9,8,4,10,7,5,9,5,6,4,6,7,7,5,5,7,6,8,3,9,7,6,5,5,8,5,9,5,3,5,7,4,6,5,5,6,8,6,4,6,7,5,4,7,6,6,5,5,7,6,5,5,5,7,6,6,4,8,5,5,4,5,4,6,5,5,7,5,,6,6,6,6,,5,9,6,,5,,,6,,10,,,5,,,,,,,9,5,6,7,6,6,11,11,4,6,5,6,8,4,5,9,122.5,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,2,5,9,10,7,2,5,2,3,5,10,12,8,5,6,9,7,11,6,10,4,7,6,12,2,4,5,4,6,7,11,1,7,7,12,11,2,12,11,6,8,2,5,6,1,9,7,5,6,3,6,2,,,10,,6,7,,9,10,4,1,,5,3,10,5,12,6,8,,,3,11,6,,,5,5,5,,10,,4,5,,,5,,,,,,,,,,,,,,6,12,12,16,6,6,6,6,6,5,7,7,6,9,5,9,11,7,7,7,135,162.5,,,,,,,,,,,,,28,3,,,,3,,,,,,,5.44,2.7,1.418,-1.151,1,2,1,2,2,,,,,
492,1,6,8,7,8.5,7,8,7,8,7,6.6,8,,,,7,,7,7.5,5,7,7,7,7,,5,6,7.5,6,7.5,7,4,7,8,,7.5,7.7,,7,,7,7,7.5,6,7,9,7,7,8,8,7,6,7,8,,6,,7,7,,6.9,6.5,5,6,6.5,6,7,6,,7.9,,7,,6.5,,6,7,8,8,9.5,7.5,7,,,7.5,7,,7,,,,9,8,7,8,7,9,8.5,,,,,8,12,12,16,9,5,11,9,7,10,10,6,3,6,4,9,9,5,9,3,,,,,,,,,,,,,,,35,4,3,1,2,,,,,,,,4.3,4.8,1.166,0.271,,,,,,,,,,
493,2,8,7,10,8,9,8,9,9,6,8,6,7,8,7,,9,7,6,8,7,7,8,8,6,10,,8,7,,9,5,8,8,7,6,7,7,7,10,6,8,7,5,3,10,7,9,9,8,5,7,9,5,,7,6,8,5,7,7,2,6,9,8,7,8,2,,8,8,7,,6,9,7,8,8,,9,9,,,7,6,,,8,8,,,8,,,8,,7,,,8,,,1,12,8,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,3,,,,3,,,,,,,3.08,3.373,1.794,-0.71,1,2,2,2,1,1,4,1,2,2
494,2,9,10,9,10,6,10,9,4,8,7,12,11,10,8,8,10,10,9,7,8,8,6,12,7,10,8,10,7,10,8,5,8,7,7,5,1,12,2,10,7,2,6,1,4,12,7,5,8,8,,3,8,9,7,8,,8,4,10,10,7,1,10,5,2,3,5,10,8,9,11,5,8,12,2,5,2,7,5,7,,11,11,9,10,,5,10,6,,6,,,2,,5,,,9,,,8,14,13,16,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,23,2,5,3,2,,,,,,,7.212,6.64,,,,,,,,,,,,,
495,2,6.5,9,7.5,10,8,9,4,7,8,7.5,7,9,11,12,,7.5,6,7.5,7,8,8,7,10,6.5,6.5,7,8,7,7.5,7,9,7,7.5,11,,7,11,7,7,9,9,10,6,7,11,,6.5,,8,7,12,8,10,,9,9,9,6,,6,5,6,7,5,7,,3,,7.5,7.5,12,7,7.5,,6,10,10,,,,,,9,,,,5,10,7,,,,,10,,9,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,4,4,2,1,4,,,,,,,5.12,4.806,1.958,0.401,2,2,2,1,2,1,4,1,2,2
496,1,6,5,10,5,8,5,6,5,4,,12,4,10,2,8,6,7,4,10,5,5,4,12,5,9,,8,6,9,10,3,8,9,,8,4,12,4,7,8,5,5,,3,8,7,9,6,6,,4,9,5,9,5,,,1,,9,2,4,8,5,7,10,3,9,4,,6,6,3,12,8,,5,,9,5,10,8,,10,10,10,,5,,7,9,,6,10,,,3,8,,20,16,6,5,5,4,6,5,9,7,5,2,12,4,5,9,4,8,12,6,2,6,,,,,,,,,,,,,,,24,2,5,3,2,3,,,,,,,,,,,,,,,,,,,,
497,2,9,10,10,10,3,7,9,6,10,9,10,10,7,8,,9,9,10,6,10,,6,10,1,1,6,3,9,10,10,,9,10,10,10,8,10,,,7,,,3,4,,,6,,,6,7,,,,,,8,,10,10,,,,10,,,7,10,7,8,,,,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,8,13,8,15,10,5,10,2,8,5,10,5,5,11,1,8,5,6,6,4,137.5,,100,,,,,,,,,,,,25,2,,,,2,-0.276,0.741,0.659,-0.535,0.362,6.308,4.58,4.223,1.362,-0.153,1,1,1,2,2,,,,,
498,1,8,,9,10,7.5,10,8,8,8,7.5,9,9,10,9,9,9,7,8,,,,,10,8,,,9,8,,9,5,9,8,9,10,7,10,9,,9,7.5,7,,7.5,11,8,9,6.5,,,,10,8,10,7,7,,8,8,,,,10,9,7,9,,,9,,8,9,,10,8,8,9,9,,,,,9,,,10,8,,,8,,9,9,9,7,10,7,8,8,,,4,4,8,13,8,6,8,7,6,4,9,8,4,7,3,6,8,7,8,1,122.5,155,,,87,,,,,,,,,,21,2,,,,4,,,,,,7.942,,5.12,1.291,0.605,1,2,2,2,2,1,4,1,2,2
499,2,9,3,8,5,7,7,6,7,6,6,8,7,5,8,7,7,8,,4,5,8,8,10,7,7,7,4,8,4,7,3,7,7,7,7,8,8,5,6,6,6,6,8,6,9,5,4,6,5,8,4,6,3,5,7,8,6,7,9,8,7,7,7,8,5,4,6,7,6,10,6,8,6,5,5,5,7,6,6,7,,9,6,5,4,,7,6,7,,7,,,4,,7,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,1,1,2,2,2,1,4,1,3,2
500,2,10,11,10,7,9,9,7,9,9,10,12,11,7,6,7,9,8,8,8,10,10,7,12,8,8,7,7,7,10,11,10,6,10,9,12,7,12,12,7,6,6,9,9,8,11,7,6,10,5,9,7,9,10,8,8,7,10,6,9,9,8,5,9,7,5,10,6,9,8,8,10,10,9,10,6,10,9,7,7,8,10,10,9,7,9,7,9,10,9,,8,,,9,,5,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,2,4,2,,,,,,,,7.865,,4.765,1.516,0.079,,,,,,,,,,
501,1,5,4,8,11,5,8,1,7,4,3,10,7,12,5,5,8,,5,6,4,7,4,6,8,9,7,5,,6,10,1,2,5,,5,5,5,5,7,2,5,4,3,1,7,4,10,4,6,9,3,6,6,12,7,,1,4,,6,2,1,7,4,7,,2,,8,10,2,9,2,8,2,6,5,,2,5,,7,3,7,,,4,,5,,,,,8,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,2,,,,1,,,,,,6.654,4.3,,,,1,1,1,1,2,1,4,1,2,2
502,1,9,6,12,11,12,8,7,12,9,6,1,6,10,7,8,10,5,7,7,8,8,10,6,12,12,8,11,7,6,12,4,8,7,6,7,6,5,12,9,7,9,8,4,6,8,5,9,5,1,7,6,11,11,9,9,5,7,8,7,9,4,8,6,11,8,5,4,8,8,3,6,6,4,5,4,9,6,7,6,6,,6,8,10,6,,5,6,7,,6,,,8,,6,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,7.019,5.72,6,1.309,1.696,2,1,1,2,1,1,4,1,3,2
503,1,4,6,4,7,2,4,4,8,4,5,6,5,7,5,4,6,,4,,6,5,4,5,7,7,,4,4,,6,3,5,4,4,3,4,4,5,7,3,4,5,,2,8,5,8,4,5,,3,,4,4,4,,2,,,6,,4,3,5,4,,4,7,6,9,,,3,8,3,3,3,7,6,5,,,,5,,9,3,,5,4,4,,,,,,2,,,12,11,9,8,5,13,9,5,9,3,6,9,10,8,5,6,8,5,4,4,8,3,132.5,,,,90,,,,,,,,,,19,1,4,2,1,1,,,,,,,4.14,,,,2,1,1,1,1,,,,,
504,2,8,10,7,7,6,3,4,5,4,11,7,7,10,10,6,11,9,,6,10,7,7,7,1,3,5,7,2,8,8,3,3,7,7,10,,8,8,8,3,3,6,7,2,10,,10,5,6,6,,11,6,,,2,6,4,5,7,5,2,7,10,,9,6,5,,6,,10,6,8,,8,7,8,,6,2,,8,1,,5,,,2,12,,5,7,6,,,,,,16,22,9,2,1,5,10,4,5,8,6,2,10,11,7,8,1,10,12,5,6,6,,,,,102,,,,,,,,,,18,1,4,2,2,,,,,,,,,4.133,1.916,-0.175,,,,,,,,,,
